club,GP,W,D,L,F,A,GD,Pts,club_avg_points
Chelsea,13,9,3,1,31,5,26,30,2.3076923076923075
Man City,13,9,2,2,27,7,20,29,2.230769230769231
Liverpool,13,8,4,1,39,11,28,28,2.1538461538461537
West Ham,13,7,2,4,24,16,8,23,1.7692307692307692
Arsenal,13,7,2,4,15,17,-2,23,1.7692307692307692
Wolves,13,6,2,5,12,12,0,20,1.5384615384615385
Spurs,12,6,1,5,11,17,-6,19,1.5833333333333333
Man Utd,13,5,3,5,21,22,-1,18,1.3846153846153846
Brighton,13,4,6,3,12,14,-2,18,1.3846153846153846
Leicester,13,5,3,5,20,23,-3,18,1.3846153846153846
C Palace,13,3,7,3,19,19,0,16,1.2307692307692308
Brentford,13,4,4,5,17,17,0,16,1.2307692307692308
Aston Villa,13,5,1,7,18,21,-3,16,1.2307692307692308
Everton,13,4,3,6,16,20,-4,15,1.1538461538461537
Southampton,13,3,5,5,11,18,-7,14,1.0769230769230769
Watford,13,4,1,8,18,24,-6,13,1.0
Leeds,13,2,6,5,12,20,-8,12,0.9230769230769231
Burnley,12,1,6,5,14,20,-6,9,0.75
Norwich,13,2,3,8,7,27,-20,9,0.6923076923076923
Newcastle,13,0,6,7,15,29,-14,6,0.46153846153846156
Bayern,13,10,1,2,42,13,29,31,2.3846153846153846
Dortmund,13,10,0,3,33,19,14,30,2.3076923076923075
Leverkusen,13,7,3,3,28,18,10,24,1.8461538461538463
Freiburg,13,6,4,3,19,13,6,22,1.6923076923076923
Hoffenheim,13,6,2,5,27,20,7,20,1.5384615384615385
Union Berlin,13,5,5,3,20,19,1,20,1.5384615384615385
Wolfsburg,13,6,2,5,15,17,-2,20,1.5384615384615385
RB Leipzig,13,5,3,5,24,16,8,18,1.3846153846153846
Mainz,13,5,3,5,17,14,3,18,1.3846153846153846
Cologne,13,4,6,3,22,22,0,18,1.3846153846153846
M'gladbach,13,5,3,5,18,18,0,18,1.3846153846153846
Eintracht Frankfurt,13,4,6,3,16,17,-1,18,1.3846153846153846
VfL Bochum,13,5,1,7,12,20,-8,16,1.2307692307692308
Hertha Berlin,13,4,2,7,13,27,-14,14,1.0769230769230769
Stuttgart,13,3,4,6,18,23,-5,13,1.0
Augsburg,13,3,4,6,12,22,-10,13,1.0
Arminia Bielefeld,13,1,6,6,9,19,-10,9,0.6923076923076923
Greuther Furth,13,0,1,12,11,39,-28,1,0.07692307692307693
Napoli,14,11,2,1,30,7,23,35,2.5
AC Milan,14,10,2,2,30,18,12,32,2.2857142857142856
Inter,14,9,4,1,34,15,19,31,2.2142857142857144
Atalanta,14,8,4,2,28,17,11,28,2.0
Roma,14,8,1,5,24,15,9,25,1.7857142857142858
Fiorentina,14,7,0,7,21,19,2,21,1.5
Juventus,14,6,3,5,18,16,2,21,1.5
Lazio,14,6,3,5,25,25,0,21,1.5
Bologna,14,6,3,5,20,24,-4,21,1.5
Verona,14,5,4,5,28,25,3,19,1.3571428571428572
Empoli,14,6,1,7,21,26,-5,19,1.3571428571428572
Sassuolo,14,5,3,6,22,21,1,18,1.2857142857142858
Torino,14,5,2,7,17,14,3,17,1.2142857142857142
Udinese,14,3,6,5,16,20,-4,15,1.0714285714285714
Sampdoria,14,4,3,7,20,26,-6,15,1.0714285714285714
Venezia,14,4,3,7,12,21,-9,15,1.0714285714285714
Spezia,14,3,2,9,15,32,-17,11,0.7857142857142857
Genoa,14,1,7,6,17,26,-9,10,0.7142857142857143
Cagliari,14,1,5,8,16,29,-13,8,0.5714285714285714
Salernitana,14,2,2,10,11,29,-18,8,0.5714285714285714
Real Madrid,14,10,3,1,34,15,19,33,2.357142857142857
Atlético,14,8,5,1,26,14,12,29,2.0714285714285716
Real Sociedad,15,8,5,2,19,11,8,29,1.9333333333333333
Sevilla,14,8,4,2,24,11,13,28,2.0
Real Betis,15,8,3,4,25,18,7,27,1.8
Rayo Vallecano,15,7,3,5,23,16,7,24,1.6
Barcelona,14,6,5,3,23,16,7,23,1.6428571428571428
A Bilbao,14,4,8,2,13,10,3,20,1.4285714285714286
Espanyol,15,5,5,5,15,14,1,20,1.3333333333333333
Valencia,15,4,7,4,22,21,1,19,1.2666666666666666
Osasuna,14,5,4,5,14,18,-4,19,1.3571428571428572
Villarreal,14,3,7,4,16,16,0,16,1.1428571428571428
Celta Vigo,15,4,4,7,16,19,-3,16,1.0666666666666667
Mallorca,15,3,7,5,14,22,-8,16,1.0666666666666667
Alaves,14,4,2,8,11,19,-8,14,1.0
Granada,14,2,6,6,14,22,-8,12,0.8571428571428571
Cadiz,15,2,6,7,13,27,-14,12,0.8
Elche,14,2,5,7,11,20,-9,11,0.7857142857142857
Getafe,15,2,4,9,10,19,-9,10,0.6666666666666666
Levante,15,0,7,8,13,28,-15,7,0.4666666666666667
PSG,15,13,1,1,35,15,20,40,2.6666666666666665
Rennes,15,8,4,3,26,12,14,28,1.8666666666666667
Nice,15,8,3,4,25,12,13,26,1.7333333333333334
Marseille,14,7,5,2,21,12,9,26,1.8571428571428572
Lens,15,7,4,4,27,20,7,25,1.6666666666666667
Angers,15,5,7,3,22,18,4,22,1.4666666666666666
Lyon,14,6,4,4,22,21,1,22,1.5714285714285714
Strasbourg,15,5,5,5,26,20,6,20,1.3333333333333333
Monaco,15,5,5,5,20,19,1,20,1.3333333333333333
Nantes,15,5,4,6,20,20,0,19,1.2666666666666666
Montpellier,15,5,4,6,21,22,-1,19,1.2666666666666666
Brest,15,4,6,5,22,22,0,18,1.2
Lille,15,4,6,5,19,22,-3,18,1.2
Reims,15,3,7,5,16,18,-2,16,1.0666666666666667
Lorient,15,3,6,6,13,23,-10,15,1.0
Bordeaux,15,2,7,6,22,32,-10,13,0.8666666666666667
Troyes,15,3,4,8,13,23,-10,13,0.8666666666666667
Clermont Foot,15,3,4,8,17,29,-12,13,0.8666666666666667
Metz,15,2,6,7,17,30,-13,12,0.8
St Etienne,15,2,6,7,17,31,-14,12,0.8
