id,name
110,Thomas Partey
3174,Bernd Leno
3244,Cédric
3477,Granit Xhaka
3755,Mohamed El Neny
5530,Aaron Ramsdale
6154,Ben White
7427,Martin Ødegaard
7647,Pablo Marí
7784,Rob Holding
7786,Sead Kolašinac
7787,Calum Chambers
7792,Ainsley Maitland-Niles
7797,Alexandre Lacazette
7800,Eddie Nketiah
7801,Pierre-Emerick Aubameyang
8412,Nicolas Pépé
8862,Albert Sambi Lokonga
9034,Takehiro Tomiyasu
15615,Kieran Tierney
23128,Gabriel
61450,Martinelli
80459,Nuno Tavares
85570,Emile Smith Rowe
99813,Bukayo Saka
131040,Folarin Balogun
65,Mateo Kovačić
145,Christian Pulisic
171,Kai Havertz
805,Edouard Mendy
2094,Jorginho
3177,Antonio Rüdiger
3187,Timo Werner
3189,Kepa Arrizabalaga
3191,Azpilicueta
3195,Marcos Alonso
3224,Thiago Silva
3367,N'Golo Kanté
3455,Andreas Christensen
3662,Romelu Lukaku
3707,Hakim Ziyech
3953,Marcus Bettinelli
4218,Lewis Baker
7599,Mason Mount
7810,Trevoh Chalobah
7816,Callum Hudson-Odoi
7817,Ross Barkley
8065,Ben Chilwell
8159,Ruben Loftus-Cheek
8424,Malang Sarr
56628,Reece James
170285,Charly Musonda Jr.
170029,Saúl Ñíguez
2096,Allan
3251,André Gomes
3309,Jordan Pickford
3359,Lucas Digne
3392,Alex Iwobi
3728,Yerry Mina
4133,Andy Lonergan
5487,Ben Godfrey
6623,Jean-Philippe Gbamin
7826,Mason Holgate
7828,Jonjoe Kenny
7829,Michael Keane
7836,Séamus Coleman
7837,Tom Davies
7839,Dominic Calvert-Lewin
7842,Gylfi Þór Sigurðsson
7848,Anthony Gordon
7854,Cenk Tosun
7886,Fabian Delph
8031,Salomón Rondón
8072,Demarai Gray
8119,Abdoulaye Doucouré
8133,Richarlison
8157,Andros Townsend
8229,Asmir Begović
114120,Jarrad Branthwaite
356,Thiago Alcântara
1795,Alisson
3233,Roberto Firmino
3320,Jordan Henderson
3323,Alex Oxlade-Chamberlain
3626,Sadio Mané
3663,Divock Origi
3754,Mohamed Salah
4092,Diogo Jota
7383,Kostas Tsimikas
7856,Loris Karius
7861,James Milner
7862,Joe Gomez
7865,Joël Matip
7867,Trent Alexander-Arnold
7868,Andrew Robertson
7869,Virgil van Dijk
7873,Curtis Jones
8197,Adrián
8749,Fabinho
9542,Ibrahima Konaté
9547,Naby Keïta
15100,Takumi Minamino
102046,Caoimhin Kelleher
124824,Harvey Elliott
125215,Nathaniel Phillips
133765,Neco Williams
3310,Nick Pope
3316,James Tarkowski
3839,Jóhann Berg Guðmundsson
4079,Will Norris
4195,Matěj Vydra
4401,Josh Brownhill
7944,Erik Pieters
7980,Connor Roberts
8032,Jay Rodriguez
8040,Matthew Lowton
8041,Kevin Long
8043,Charlie Taylor
8044,Phil Bardsley
8050,Ashley Westwood
8051,Jack Cork
8052,Aaron Lennon
8054,Ashley Barnes
8057,Chris Wood
8137,Wayne Hennessey
8268,Dale Stephens
8471,Maxwel Cornet
11623,Dwight McNeil
115642,Nathan Collins
167115,Ben Mee
2283,Lyanco
4119,Che Adams
4863,Adam Armstrong
7855,Theo Walcott
7995,Kyle Walker-Peters
8079,Fraser Forster
8080,Alex McCarthy
8085,Jack Stephens
8086,Jan Bednarek
8088,James Ward-Prowse
8091,Oriol Romeu
8092,Nathan Redmond
8095,Sam McQueen
8098,Shane Long
8435,Romain Perraud
8763,Ibrahima Diallo
9240,Moussa Djénepo
15614,Stuart Armstrong
16060,Mohamed Elyounoussi
35254,Harry Lewis
81039,Mohammed Salisu
99799,Yan Valery
137396,William Smallbone
143054,Armando Broja
144715,Nathan Tella
168712,Valentino Livramento
1865,Adam Masina
2281,Nicolas N'Koulou
2402,Francisco Sierralta
3319,Danny Rose
3381,William Troost-Ekong
3500,Ken Sema
3638,Ismaïla Sarr
4074,Ashley Fletcher
7912,Rob Elliot
8001,Moussa Sissoko
8009,Ben Foster
8105,Daniel Bachmann
8107,Craig Cathcart
8111,Christian Kabasele
8122,Tom Cleverley
8125,Femenía Far
8243,Dan Gosling
8252,Joshua King
8894,Emmanuel Dennis
30307,Juraj Kucka
30507,Ozan Tufan
32415,Cucho Hernández
99830,Imran Louza
103125,João Pedro
131893,Kwadwo Baah
137657,Jeremy Ngakia
170283,Peter Etebo
612,Yoane Wissa
806,Julian Jeanvier
3454,Mathias Jørgensen
3490,Pontus Jansson
3813,Saman Ghoddoos
4334,Ethan Pinnock
4426,Rico Henry
4437,Mads Bech Sørensen
4442,Sergi Canós
4832,David Raya
5428,Charlie Goode
5453,Ivan Toney
6322,Tariqe Fosu
7796,Josh Dasilva
8626,Bryan Mbeumo
10000,Vitaly Janelt
10194,Mathias Jensen
15535,Mads Roerslev
16068,Kristoffer Ajer
24102,Christian Nørgaard
24210,Frank Onyeka
56666,Shandon Baptiste
64325,Joel Valencia
79533,Álvaro Fernández
80790,Marcus Forss
101708,Luka Racic
112779,Jan Žambůrek
125217,Dominic Thompson
150067,Finley Stevens
